time,open,high,low,close,Volume
1982-04-26,1.8443,1.8443,1.8443,1.8443,0
1982-04-27,1.8443,1.8443,1.8443,1.8443,0
1982-04-28,1.8333,1.8333,1.8333,1.8333,0
1982-04-29,1.8333,1.8333,1.8333,1.8333,0
1982-04-30,1.8333,1.8333,1.8333,1.8333,0
1982-05-03,1.8222,1.8222,1.8222,1.8222,0
1982-05-04,1.8222,1.8222,1.8222,1.8222,0
1982-05-05,1.8222,1.8222,1.8222,1.8222,0
1982-05-06,1.8131,1.8131,1.8131,1.8131,0
1982-05-07,1.7986,1.7986,1.7986,1.7986,0
1982-05-10,1.7986,1.7986,1.7986,1.7986,0
1982-05-11,1.7986,1.7986,1.7986,1.7986,0
1982-05-12,1.7986,1.7986,1.7986,1.7986,0
1982-05-13,1.7986,1.7986,1.7986,1.7986,0
1982-05-14,1.813,1.813,1.813,1.813,0
1982-05-17,1.813,1.813,1.813,1.813,0
1982-05-18,1.813,1.813,1.813,1.813,0
1982-05-19,1.813,1.813,1.813,1.813,0
1982-05-20,1.813,1.813,1.813,1.813,0
1982-05-21,1.813,1.813,1.813,1.813,0
1982-05-24,1.813,1.813,1.813,1.813,0
1982-05-25,1.813,1.813,1.813,1.813,0
1982-05-26,1.813,1.813,1.813,1.813,0
1982-05-27,1.8239,1.8239,1.8239,1.8239,0
1982-05-28,1.8331,1.8331,1.8331,1.8331,0
1982-06-01,1.8331,1.8331,1.8331,1.8331,0
1982-06-02,1.8514,1.8514,1.8514,1.8514,0
1982-06-03,1.8514,1.8514,1.8514,1.8514,0
1982-06-04,1.8514,1.8514,1.8514,1.8514,0
1982-06-07,1.8514,1.8514,1.8514,1.8514,0
1982-06-08,1.8625,1.8625,1.8625,1.8625,0
1982-06-09,1.8756,1.8756,1.8756,1.8756,0
1982-06-10,1.8756,1.8756,1.8756,1.8756,0
1982-06-11,1.8868,1.8868,1.8868,1.8868,0
1982-06-14,1.8755,1.8755,1.8755,1.8755,0
1982-06-15,1.9074,1.9074,1.9074,1.9074,0
1982-06-16,1.9074,1.9074,1.9074,1.9074,0
1982-06-17,1.9226,1.9226,1.9226,1.9226,0
